aafkagh	to burst
Kuusmeyagh	to go somewhere for Christmas
kuutughte	to turn one’s toes inward
kuutu, kuutughmete-	to be pigeon-toed
kuuve	to spill; to pour
kuuvragh	to set a seal net
kuvaghaan	small flatbottomed ivory bird figurine used in a certain game
kuvugh	to intermittently spill or pour
laaghigh	to reach edge of  shore ice or shoreword edge of pack ice; for edge of ice to break off
laag	to dig
laalighfike	to visit
laalighqwaagh	to visit around house to house
laalighte	to visit
laaliq	visitor
laalit	visitors from another place
laalmeghqun	rope used to fasten ribs of boat to frame
laalmik	rib of bentrib boat; floor piece which lies perpendicular to and across the keel in a flat-bottom boat
laawaaq	dug out hole in ground for storing meat
lata	to write a letter
legalnguke	to feel that one should conserve (it); to value
legalngu	to feel that one shouldn’t be wasteful; to be careful with what one has; to conserve things
leganamen	almost able to do something
legasiighwagh	to have fun in a way inappropriate for the situation; to make fun of someone or something; to act crazy
legha	to be unable to breathe due to crying (of infants mostly)
legh	to expel flatus; to fart
legra / legre-	to be nosy; to be curious; to be inquisitive
legreliqe	to inquire; to probe or snoop around
lengaaghuute	to ring
lengke	for snow to fall in an avalanche on one
liighqe	to cut out a pattern; to make a plan (on paper)
liigiketagh	to be quick-witted; to be shrewd
liigike	to recognize; to sense; to understand; to be aware of (it)
liigilliigh	to fully understand; to learn completely; to master (a subject)
liilightugh 	to advise; to instruct concerning how to life; teach the rules and ways of life
liinnaquma	to always be ready and eager to learn; to be a studious person
liipghange	to become aware; to become conscious; to come to one’s senses
liiqneq	scrap of material; leftover material
liisaghagh	to learn well and remember (of young person); to comprehend well at an early age
liisagh	to teach
liisimake	to know
liisima	to be knowledgeable
liisuqe	to recognize
liite1	to learn; to gain awareness of one's surroundings (said of a young child)
liite2	to leave something (usually food) for another
linggha	to hesitate to ask again due to having already asked and not received a response; to be tired of asking repeatedly without results
lingghayagute	to be uncomfortable; to feel awkward
lipeghsagh	to send for something; to send someone with instructions; to leave instructions; to place an order for something
llaaghaaghyugnagh	to be probable
llagigh	to cut off
lleve	to decorate or be decorated; to sew or be sewn with a fancy design
llevlu	to put fancy handywork on garment
lliigh	to become a certain way; to start living in a certain place
lliivneqegsagh	to flatten the surface of something
llilagh	to command to go somewhere; to send (a person) somewhere; to chase away (an animal)
llilegh	to have more than what is needed
llimtaaq	something stored away for the future
llineghllugte	to place something somewhere and forget where it was placed; to misplace
lli	to place; to put; to set
llivegh	to inter; to bury
llivike	to pay; to place something on (it); to get even with (him)
lluuqu	to hunt with a sling
lluuquyagh	to go bird-hunting with a sling
lluu	to use a sling as in hunting
luufsagh	to fix something up; to make something or someone look nice; to smooth out; to make presentable
maaghaghte	to run out of or finish up something quickly; to purposely leave none for others
maakeste	to whip until thick and/or fluffy; to set something upright
maalghuggaaghte	to be the only two remaining
maallgute	to get trapped in ice when boating
maame	to heal (of wound); to close over
maamghu	to fix temporarily or in a make-shift way
maamkelli	to become or make thinner, narrower or calmer
maamnalghii	dressing for wounds; something that helps a wound to heal
maamtu	to be thick or wide
maana	this one; this kind; this one here; on to the next part; and then
maangnaqe	to try to soothe (a crying baby)
maangnaqi	to try to stop a child from crying
maapi	to come here (to this general area)
maaqe	to drain out; to ooze; to flow; to run (of liquids)
maaqiite	to be lightly dressed
maaqneq	ocean current flowing from southwest to northeast
maaqute	to drift by with the current; for the current to carry one away (as in a boat)
maaste	to be penetrated by the cold air or wind
maatenta	now you see!; there you have it!; I told you so!; I just told you
maatkagh	to suddenly clear up after blizzard
maatneghsiisiq	heater; heat radiator
maatnegh	to be warm
maghhuurka	leaf tobacco
maghlag	to invite to the dance floor during a particular indigenous Eskimo dance event held yearly followed by a gift exchange
maghqate	to lock up
maghuyugte	to tuck lower part of face in one's garments
maghyaghaghqugh	to lead astray
maghyaghqughsiin	towline of sled going all the way to the lead dog
maghyaghqugh	to lead
maka	to diaper
makete	to stand up; to get up; to stand (it) upright
makiga	to be in an upright or erect state or condition
makigh	to gnaw on a bone with meat attached to it
makiigh	to split following the grain (of wood)
makite	to place one’s tail between ones legs
makligha	to pull in a rope hand-over-hand or check to net this way; to shinny up or down a rope or pole; to get eggs on a cliff down on a rope
maklii	to butcher or otherwise prepare bearded seal
maklukestaq	surface of sea ice covered with small smooth bumps, suitable for hunting and traveling but causing boat and sled to vibrate when pulled across it
makreg1	to peel; to peel (off); to shed covering, skin, etc.; to strip off skin or the like
makreg2	to suffer anguish
makregaghte	to cause elevated abrasions; to scrape one’s skin on something
makrughi	to have a difficult time doing something
makruughi	to have a hard time doing something; to be unable to do something difficult
maksulqaghhiite	to show no sign of living presence; to be quiet and still
makughqugh	to unharness, unfasten, or otherwise undo dogs
makugte	to shed; to moult; to slip out of a loop which holds one
malghi	to give birth to twins
malghughqe	to act in pairs; to divide in two
malghukaghte	to act on things twice or two at a time
malghukli	to be undecided
malghuuya	to do something twice in a row
malghuuya	to win twice at one time (as in double-jumping in checkers)
malighqagh	to chase after; to catch up with by chasing
malighqugh	to chase
malighqutaama	to always follows the rules
maligsaagh	to follow along; to follow the pattern
maligte, maligtagh-	to accompany; to go with; to follow
mallangllagh	to litter
malleg	to be or get close; to be or get next to
malliigh	to sweep
mamaghnaq	burner nozzle; small opening where oil or gas flows out to burner of gas stove, lantern, ect.
mamagh	to suck (at breast or bottle)
mamasugnite	to age and whiten (of the skin of a beached walrus carcass)
mamleg1	to be dark
mamleg2	to be closer to something
mamlegraagte	to start to get dark
mamlegte	to become dark
mamlegute	to block light; to cast a shadow on; to appear as a dark spot or form in front of it (it)
managh	to fish with hook and line; to jig for fish; to catch (fish) with hook and line
mangagigh	to remove outer layer of skin
mangagte	to loose (part of) outer layer of skin through rubbing or the like
mangghute	to tie rope securely
mangigh	to stop crying
mangilate	to spread in various directions
mangsingugh	to soothe; to calm
mangteghagh	to make a house for; to reassemble a house (in fall after its parts have been aired out)
mangteghiigh	to build a house
mangughte	to surface or show the back when beginning to dive deeply (of whale)
mangugte	to lose some of the skin from the back (of a whale)
mangyaangigh	to sob uncontrollably after crying
mangzighhe	to gnaw
manigniigh	to gather eggs; to look for eggs
manigugh	to soothe; to calm
maniguute1	to worship; to beg; to present oneself in a pitiful way; to humbly request something
maniguute2	to have eggs (of bird)
manilghu	group of walrus coming to shore
manimsag	to keep on coming or going over to something
mani	to move in close
manuli	to be frosted (of lower part of parka ruff); to have a frosted ruff
maqaaghte	to warm up
maqaasghaq	insulation to keep heat in
maqaghqe	to dress warmly
maqaghqun	insulation to keep heat in
maqagh	to be warm (of clothing, house, etc.)
maqete	to drain; to remove liquid from (it)
maqiighsagh	to be inadequately dressed for the cold
maqughaghti	to shed tears
masaaghi	for weather to warm up in spring
masighagh	to warm oneself by stove or other heat source
masinkate	to succeed at what one is doing; to do well; to prosper
masleg	to become skinny; to get thin; become emaciated
masugh	to get or go right to or on the edge
mataawi	to have a hard time
mataghhwaagh	to dress lightly
mataghqe	to strip one’s clothes off; to remove outer garment
mateg	to get stuck onto something; to come side by side with something
mayaari	to feel weak and exhausted
mayari	to tire; to lose fragrance, taste or zest
mayeqelleghagh	to climb
mayleghuke	to have doubts about (it)
mayleghunagh	to be doubtful; to appear unpromising
mayughtaq	driftwood that is piled on the beach (to be visible and to dry) to be taken later; heap; pile
mayughti	to pile up wood or other things; to make a pile
mayugh	to go up; to ascend; to climb
mayugnite	to become snagged (of a hook getting stuck on something underwater)
megh<e>	to drink (any beverage, especially one that is cool); to drink an alcoholic beverage
meghnaali	to rest
meghnugh	to be tired
meghqe	to water; to sprinkle water on (it); for water to appear on ice; to splash water on (it); to apply water to (it)
meghquute	to fall into the water
meghraag	to be transparent; to be clear
meghraawayi	to be very light in color; to be transparent
meghragti	to cry from emotional pain; to shed tears
meghsi	to give a drink to a person or animal (dog usually)
meghtagh	to fetch water
meghtaghvik	well; place to get water
meghyaghaghqugh	to lead astray
meghyaghqaq	something to drink
meghyaghqugh	to lead
megnunagh	to be important; to be valued; to be treasured
mekegragh	to smooth out or make even  with one’s teeth
mekegte	to scrape off; to peel off; to strip off
mekellin	strip of fabric on a sail which can be tied to shorten the sail
mekelli	to become smaller; to make smaller; to alter (by making smaller) in sewing
mekitaghagh	to be somewhat smaller
mekitkughmete	to be somewhat smaller
mekughmighalek	walrus with long tusks that touch or cross at the tips
melangute	to come into indistinct view through darkness, mist, fog, etc. 
melighte	to perform shamanistic activity
meliqe	to send word; to pass the word
meliqi	to send word by someone 
melitaqe	to speak harshly to (him)
melite	to discipline with harsh language
melkaaghte	to retrieve from the water
mellaate	to be trapped by sea ice which has closed in around one
mellig	to close tightly
mellugragh	to growl
mellugtuqun	button part of hair beads
mellu	to plug; to cover an opening
melqiigh	to remove fur or body hair from skin; to lose fur
melqiin	rock used to pound sea mammal skin to remove the hair
melqiite	to be bald; to have one’s lost hair
melqite	to be bald; to have one’s lost hair
melqunge	to be fledged; to become covered with hair
melugragh	to repeatedly suck 
melug	to suck; to smoke; to bite (of mosquito)
melugyaghqaq	smoking tobacco
melyugraagh	to mutter
mengag	to make a vocal sound
mengelgha	noise of a lot of people together
mengelghate	for people to talk in a way such that they cannot be understood due to distance, noice, etc.
mengghaalugraagh	to babble (of baby); to mumble; to make non-speech vocal sounds
menghu	to feel left out when one doesn’t receive anything from someone
mengilegnagh	to be such as to cause one to feel an obligation to act (especially, to render aid)
mengilegyagute	to tire of being pestered by (him)
mengilegyug	to feel obliged (due to being cajoled, having one’s pity aroused, etc.) to act
mengllagh	to melt snow or ice for water
mengqughtagh	to pop gum while chewing it
mengqughuute	to make a popping sound
mengulghu	to speak quietly; to babble
